name,slug,sku,genericName,brand,description,form,strength,packSize,categoryIds,regulatoryClass,nafdacRegNo,manufacturer,status,price,cost,compareAt,isAvailable,openingQuantity,reorderLevel,batchNo,expiry,reason
Halothane 250-mL bottle,halothane-250-ml-bottle-inhaler,,Halothane,,,inhaler,250-mL bottle,,,POM,,,draft,0,,,true,100,20,B10000,2028-12-30,Bulk import: inventory_3000
Ketamine 50mg/ml in 10ml,ketamine-50mg-ml-in-10ml-injection,,Ketamine,,,injection,50mg/ml in 10ml,,,POM,,,draft,0,,,true,100,20,B10001,2028-12-30,Bulk import: inventory_3000
Nitrous oxide Medical gas,nitrous-oxide-medical-gas-inhaler,,Nitrous oxide,,,inhaler,Medical gas,,,POM,,,draft,0,,,true,100,20,B10002,2028-12-30,Bulk import: inventory_3000
Oxygen Medical gas,oxygen-medical-gas-inhaler,,Oxygen,,,inhaler,Medical gas,,,POM,,,draft,0,,,true,100,20,B10003,2028-12-30,Bulk import: inventory_3000
Atropine 1mg/1ml,atropine-1mg-1ml-injection,,Atropine,,,injection,1mg/1ml,,,POM,,,draft,0,,,true,100,20,B10004,2028-12-30,Bulk import: inventory_3000
Diazepam 5mg/ml in 2ml,diazepam-5mg-ml-in-2ml-injection,,Diazepam,,,injection,5mg/ml in 2ml,,,POM,,,draft,0,,,true,100,20,B10005,2028-12-30,Bulk import: inventory_3000
Hyoscine N-Butylbromide 20mg/ml,hyoscine-n-butylbromide-20mg-ml-injection,,Hyoscine N-Butylbromide,,,injection,20mg/ml,,,POM,,,draft,0,,,true,100,20,B10006,2028-12-30,Bulk import: inventory_3000
Midazolam 15mg/3ml,midazolam-15mg-3ml-injection,,Midazolam,,,injection,15mg/3ml,,,POM,,,draft,0,,,true,100,20,B10007,2028-12-30,Bulk import: inventory_3000
Morphine 10mg/ml,morphine-10mg-ml-injection,,Morphine,,,injection,10mg/ml,,,POM,,,draft,0,,,true,100,20,B10008,2028-12-30,Bulk import: inventory_3000
Promethazine 25mg,promethazine-25mg-tablet,,Promethazine,,,tablet,25mg,,,POM,,,draft,0,,,true,100,20,B10009,2028-12-30,Bulk import: inventory_3000
Promethazine 5mg/5ml,promethazine-5mg-5ml-syrup,,Promethazine,,,syrup,5mg/5ml,,,POM,,,draft,0,,,true,100,20,B10010,2028-12-30,Bulk import: inventory_3000
Atracurium 10mg/ml,atracurium-10mg-ml-injection,,Atracurium,,,injection,10mg/ml,,,POM,,,draft,0,,,true,100,20,B10011,2028-12-30,Bulk import: inventory_3000
Neostigmine 2.5mg/ml,neostigmine-2-5mg-ml-injection,,Neostigmine,,,injection,2.5mg/ml,,,POM,,,draft,0,,,true,100,20,B10012,2028-12-30,Bulk import: inventory_3000
Suxamethonium 50mg/ml,suxamethonium-50mg-ml-injection,,Suxamethonium,,,injection,50mg/ml,,,POM,,,draft,0,,,true,100,20,B10013,2028-12-30,Bulk import: inventory_3000
Propofol 10mg/ml,propofol-10mg-ml-injection,,Propofol,,,injection,10mg/ml,,,POM,,,draft,0,,,true,100,20,B10014,2028-12-30,Bulk import: inventory_3000
Lidocaine 2%,lidocaine-2-injection,,Lidocaine,,,injection,2%,,,POM,,,draft,0,,,true,100,20,B10015,2028-12-30,Bulk import: inventory_3000
Bupivacaine 0.5%,bupivacaine-0-5-injection,,Bupivacaine,,,injection,0.5%,,,POM,,,draft,0,,,true,100,20,B10016,2028-12-30,Bulk import: inventory_3000
Pentazocine 30mg/ml,pentazocine-30mg-ml-injection,,Pentazocine,,,injection,30mg/ml,,,POM,,,draft,0,,,true,100,20,B10017,2028-12-30,Bulk import: inventory_3000
Pethidine 50mg/ml,pethidine-50mg-ml-injection,,Pethidine,,,injection,50mg/ml,,,POM,,,draft,0,,,true,100,20,B10018,2028-12-30,Bulk import: inventory_3000
Tramadol 50mg,tramadol-50mg-capsule,,Tramadol,,,capsule,50mg,,,POM,,,draft,0,,,true,200,20,B10019,2028-12-30,Bulk import: inventory_3000
Acetylsalicylic Acid 300mg,acetylsalicylic-acid-300mg-tablet,,Acetylsalicylic Acid,,,tablet,300mg,,,POM,,,draft,0,,,true,100,20,B10020,2028-12-30,Bulk import: inventory_3000
Paracetamol 500mg,paracetamol-500mg-tablet,,Paracetamol,,,tablet,500mg,,,POM,,,draft,0,,,true,400,20,B10021,2028-12-30,Bulk import: inventory_3000
Paracetamol 125mg/5ml,paracetamol-125mg-5ml-syrup,,Paracetamol,,,syrup,125mg/5ml,,,POM,,,draft,0,,,true,100,20,B10022,2028-12-30,Bulk import: inventory_3000
Paracetamol 150mg/ml,paracetamol-150mg-ml-injection,,Paracetamol,,,injection,150mg/ml,,,POM,,,draft,0,,,true,100,20,B10023,2028-12-30,Bulk import: inventory_3000
Allopurinol 100mg,allopurinol-100mg-tablet,,Allopurinol,,,tablet,100mg,,,POM,,,draft,0,,,true,200,20,B10024,2028-12-30,Bulk import: inventory_3000
Diclofenac Sodium 50mg,diclofenac-sodium-50mg-tablet,,Diclofenac Sodium,,,tablet,50mg,,,POM,,,draft,0,,,true,300,20,B10025,2028-12-30,Bulk import: inventory_3000
Diclofenac Sodium 25mg/ml,diclofenac-sodium-25mg-ml-injection,,Diclofenac Sodium,,,injection,25mg/ml,,,POM,,,draft,0,,,true,100,20,B10026,2028-12-30,Bulk import: inventory_3000
Ibuprofen 400mg,ibuprofen-400mg-tablet,,Ibuprofen,,,tablet,400mg,,,POM,,,draft,0,,,true,100,20,B10027,2028-12-30,Bulk import: inventory_3000
Ibuprofen 100mg/5ml,ibuprofen-100mg-5ml-suspension,,Ibuprofen,,,suspension,100mg/5ml,,,POM,,,draft,0,,,true,100,20,B10028,2028-12-30,Bulk import: inventory_3000
Naproxen 250mg,naproxen-250mg-tablet,,Naproxen,,,tablet,250mg,,,POM,,,draft,0,,,true,200,20,B10029,2028-12-30,Bulk import: inventory_3000
Piroxicam 20mg,piroxicam-20mg-capsule,,Piroxicam,,,capsule,20mg,,,POM,,,draft,0,,,true,200,20,B10030,2028-12-30,Bulk import: inventory_3000
Meloxicam 15mg,meloxicam-15mg-tablet,,Meloxicam,,,tablet,15mg,,,POM,,,draft,0,,,true,100,20,B10031,2028-12-30,Bulk import: inventory_3000
Naloxone 0.4mg/ml,naloxone-0-4mg-ml-injection,,Naloxone,,,injection,0.4mg/ml,,,POM,,,draft,0,,,true,100,20,B10032,2028-12-30,Bulk import: inventory_3000
Chlorpheniramine 4mg,chlorpheniramine-4mg-tablet,,Chlorpheniramine,,,tablet,4mg,,,POM,,,draft,0,,,true,100,20,B10033,2028-12-30,Bulk import: inventory_3000
Hydrocortisone 100mg,hydrocortisone-100mg-injection,,Hydrocortisone,,,injection,100mg,,,POM,,,draft,0,,,true,200,20,B10034,2028-12-30,Bulk import: inventory_3000
Prednisolone 5mg,prednisolone-5mg-tablet,,Prednisolone,,,tablet,5mg,,,POM,,,draft,0,,,true,100,20,B10035,2028-12-30,Bulk import: inventory_3000
Phenobarbital 30mg,phenobarbital-30mg-tablet,,Phenobarbital,,,tablet,30mg,,,POM,,,draft,0,,,true,100,20,B10036,2028-12-30,Bulk import: inventory_3000
Phenytoin 100mg,phenytoin-100mg-capsule,,Phenytoin,,,capsule,100mg,,,POM,,,draft,0,,,true,200,20,B10037,2028-12-30,Bulk import: inventory_3000
Sodium Valproate 200mg,sodium-valproate-200mg-tablet,,Sodium Valproate,,,tablet,200mg,,,POM,,,draft,0,,,true,100,20,B10038,2028-12-30,Bulk import: inventory_3000
