Product,Generic,Brand,Form,Strength,On hand,Reserved,Available,Reorder level,Batch no,Expiry,Batch qty
Halothane 250-mL bottle,Halothane,,"inhalation, liquid",250-mL bottle,100,0,100,20,B10000,30/12/2028,100
Ketamine 50mg/ml in 10ml,Ketamine,,injection,50mg/ml in 10ml,100,0,100,20,B10001,30/12/2028,100
Nitrous oxide Medical gas,Nitrous oxide,,inhalation,Medical gas,100,0,100,20,B10002,30/12/2028,100
Oxygen Medical gas,Oxygen,,inhalation,Medical gas,100,0,100,20,B10003,30/12/2028,100
Atropine 1mg/1ml,Atropine,,injection,1mg/1ml,100,0,100,20,B10004,30/12/2028,100
Diazepam 5mg/ml in 2ml,Diazepam,,injection,5mg/ml in 2ml,100,0,100,20,B10005,30/12/2028,100
Hyoscine N-Butylbromide 20mg/ml,Hyoscine N-Butylbromide,,injection,20mg/ml,100,0,100,20,B10006,30/12/2028,100
Midazolam 15mg/3ml,Midazolam,,injection,15mg/3ml,100,0,100,20,B10007,30/12/2028,100
Morphine 10mg/ml,Morphine,,injection,10mg/ml,100,0,100,20,B10008,30/12/2028,100
Promethazine 25mg,Promethazine,,tablet,25mg,100,0,100,20,B10009,30/12/2028,100
Promethazine 5mg/5ml,Promethazine,,syrup,5mg/5ml,100,0,100,20,B10010,30/12/2028,100
Atracurium 10mg/ml,Atracurium,,injection,10mg/ml,100,0,100,20,B10011,30/12/2028,100
Neostigmine 2.5mg/ml,Neostigmine,,injection,2.5mg/ml,100,0,100,20,B10012,30/12/2028,100
Suxamethonium 50mg/ml,Suxamethonium,,injection,50mg/ml,100,0,100,20,B10013,30/12/2028,100
Propofol 10mg/ml,Propofol,,injection,10mg/ml,100,0,100,20,B10014,30/12/2028,100
Lidocaine 2%,Lidocaine,,injection,2%,100,0,100,20,B10015,30/12/2028,100
Bupivacaine 0.5%,Bupivacaine,,injection,0.5%,100,0,100,20,B10016,30/12/2028,100
Pentazocine 30mg/ml,Pentazocine,,injection,30mg/ml,100,0,100,20,B10017,30/12/2028,100
Pethidine 50mg/ml,Pethidine,,injection,50mg/ml,100,0,100,20,B10018,30/12/2028,100
Tramadol 50mg,Tramadol,,capsule,50mg,100,0,100,20,B10019,30/12/2028,100
Acetylsalicylic Acid 300mg,Acetylsalicylic Acid,,tablet,300mg,100,0,100,20,B10020,30/12/2028,100
Paracetamol 500mg,Paracetamol,,tablet,500mg,100,0,100,20,B10021,30/12/2028,100
Paracetamol 125mg/5ml,Paracetamol,,syrup,125mg/5ml,100,0,100,20,B10022,30/12/2028,100
Paracetamol 150mg/ml,Paracetamol,,injection,150mg/ml,100,0,100,20,B10023,30/12/2028,100
Allopurinol 100mg,Allopurinol,,tablet,100mg,100,0,100,20,B10024,30/12/2028,100
Diclofenac Sodium 50mg,Diclofenac Sodium,,tablet,50mg,100,0,100,20,B10025,30/12/2028,100
Diclofenac Sodium 25mg/ml,Diclofenac Sodium,,injection,25mg/ml,100,0,100,20,B10026,30/12/2028,100
Ibuprofen 400mg,Ibuprofen,,tablet,400mg,100,0,100,20,B10027,30/12/2028,100
Ibuprofen 100mg/5ml,Ibuprofen,,suspension,100mg/5ml,100,0,100,20,B10028,30/12/2028,100
Naproxen 250mg,Naproxen,,tablet,250mg,100,0,100,20,B10029,30/12/2028,100
Piroxicam 20mg,Piroxicam,,capsule,20mg,100,0,100,20,B10030,30/12/2028,100
Meloxicam 15mg,Meloxicam,,tablet,15mg,100,0,100,20,B10031,30/12/2028,100
Naloxone 0.4mg/ml,Naloxone,,injection,0.4mg/ml,100,0,100,20,B10032,30/12/2028,100
Chlorpheniramine 4mg,Chlorpheniramine,,tablet,4mg,100,0,100,20,B10033,30/12/2028,100
Hydrocortisone 100mg,Hydrocortisone,,injection,100mg,100,0,100,20,B10034,30/12/2028,100
Prednisolone 5mg,Prednisolone,,tablet,5mg,100,0,100,20,B10035,30/12/2028,100
Phenobarbital 30mg,Phenobarbital,,tablet,30mg,100,0,100,20,B10036,30/12/2028,100
Phenytoin 100mg,Phenytoin,,capsule,100mg,100,0,100,20,B10037,30/12/2028,100
Sodium Valproate 200mg,Sodium Valproate,,tablet,200mg,100,0,100,20,B10038,30/12/2028,100
Carbamazepine 200mg,Carbamazepine,,tablet,200mg,100,0,100,20,B10039,30/12/2028,100
Amoxicillin 500mg,Amoxicillin,,capsule,500mg,100,0,100,20,B10040,30/12/2028,100
Amoxicillin 125mg/5ml,Amoxicillin,,suspension,125mg/5ml,100,0,100,20,B10041,30/12/2028,100
Ampicillin 500mg,Ampicillin,,injection,500mg,100,0,100,20,B10042,30/12/2028,100
Cloxacillin 250mg,Cloxacillin,,capsule,250mg,100,0,100,20,B10043,30/12/2028,100
Ceftriaxone 1g,Ceftriaxone,,injection,1g,100,0,100,20,B10044,30/12/2028,100
Cefuroxime 250mg,Cefuroxime,,tablet,250mg,100,0,100,20,B10045,30/12/2028,100
Azithromycin 500mg,Azithromycin,,tablet,500mg,100,0,100,20,B10046,30/12/2028,100
Erythromycin 250mg,Erythromycin,,tablet,250mg,100,0,100,20,B10047,30/12/2028,100
Ciprofloxacin 500mg,Ciprofloxacin,,tablet,500mg,100,0,100,20,B10048,30/12/2028,100
Metronidazole 200mg,Metronidazole,,tablet,200mg,100,0,100,20,B10049,30/12/2028,100
Metronidazole 5mg/ml,Metronidazole,,infusion,5mg/ml,100,0,100,20,B10050,30/12/2028,100
Gentamicin 40mg/ml,Gentamicin,,injection,40mg/ml,100,0,100,20,B10051,30/12/2028,100
